"","title","timestamp","duration","venue","lat","lng","id","address"
"1","Exploring Educational Excellence- Wilmington, DE","2019-06-05T19:00:00",5400,"DoubleTree by Hilton Hotel Wilmington",39.819,-75.547,"7eecdbcc-8b39-47cb-b95c-fa6723bf2b70",NA
"2","Exploring Educational Excellence- Washington, D.C","2019-05-21T19:00:00",5400,"Washington Marriott Wardman Park",38.925,-77.054,"1a45ac57-b6f9-4b27-8c77-8c1d758f8bad",NA
"3","Exploring Educational Excellence- Oak Brook, IL","2019-06-02T14:00:00",5400,"Chicago Marriott Oak Brook",41.846,-87.953,"043ad2a6-870e-4d0a-9ad5-0aace683644c",NA
"4","Exploring Educational Excellence- Chicago, IL","2019-06-02T19:00:00",5400,"Palmer House a Hilton Hotel",41.88,-87.627,"26beb80e-d2f6-4848-8006-980ea35034e3",NA
"5","Exploring Educational Excellence- Indianapolis, Indiana","2019-06-05T19:00:00",5400,"Sheraton Indianapolis City Centre Hotel",39.77,-86.159,"f62f987d-15a6-424d-8a2e-424ae4a51fd9",NA
"6","Exploring Educational Excellence- Baltimore, MD","2019-05-19T19:00:00",5400,"Baltimore Marriott Inner Harbor at Camden Yards",39.287,-76.622,"320675e9-88c1-4036-b9eb-32624e1d2fad",NA
"7","Exploring Educational Excellence- Gaithersburg, MD","2019-05-20T19:00:00",5400,"Gaithersburg Marriott Washingtonian Center",39.116,-77.196,"edada695-dd94-4cf2-afcf-63d9a5daa70a",NA
"8","Exploring Educational Excellence- Detroit, MI","2019-06-06T19:00:00",5400,"DoubleTree by Hilton Hotel Detroit - Dearborn",42.332,-83.217,"2c96a53b-26fc-4e4a-8247-9c54855cc4ae",NA
"9","Exploring Educational Excellence- Minneapolis, MN","2019-06-03T19:00:00",5400,"DoubleTree by Hilton Hotel Minneapolis - Park Place",44.969,-93.351,"81d48a5b-b85b-474b-92de-bf6bbc5e6532",NA
"10","Exploring Educational Excellence- Chesterfield, MO","2019-06-04T19:00:00",5400,"DoubleTree by Hilton Hotel St. Louis - Chesterfield",38.664,-90.568,"3e398dff-485c-4318-a685-fe3e89bf9993",NA
"11","Exploring Educational Excellence- Plainsboro, NJ","2019-06-04T19:00:00",5400,"West Windsor-Plainsboro HS N",40.322,-74.601,"2d5c87b8-72a5-4efc-b921-cd25f289ad0d",NA
"12","Exploring Educational Excellence- New York, NY","2019-06-02T14:00:00",5400,"Miller Theatre",40.808,-73.963,"0e651d01-00e1-493a-a126-1969fe82443c",NA
"13","Exploring Educational Excellence- White Plains, NY","2019-06-02T19:00:00",5400,"Crowne Plaza Hotel",41.03,-73.76,"b6709e48-96a0-45f8-b37a-115555c7a63c",NA
"14","Exploring Educational Excellence- Dix Hills, NY","2019-06-03T19:00:00",5400,"Half Hollow Hills High School East",40.791,-73.386,"5e97e96e-cee4-4f44-9ce0-99cfd3d4c798",NA
